,density,kinetic_energy,mass,object,object_id,object_radius,object_velocity,potential_energy,pressure,temperature,total_energy_released,x_coords,x_direct,y_coords,y_direct,z_coords,z_direct,neighbors,T_gradient,T_laplacian,dT/dt,K
84,,,,Silicate Liquid,B85,,,,,1590,,3.0,,2.0,,0.0,,,"[[1.0], [-5.0], [-9.0]]","[[1.0], [-0.5], [0.5]]",,
85,,,,Silicate Liquid,B0,,,,,1580,,3.0,,2.0,,1.0,,,"[[-16.0], [12.5], [-8.5]]","[[-10.0], [19.0], [-14.0]]",,
86,,,,Silicate Liquid,B0,,,,,1572,,3.0,,2.0,,2.0,,,"[[-26.0], [23.0], [-37.0]]","[[-16.5], [32.0], [-28.5]]",,
87,,,,Silicate Liquid,B80,,,,,1499,,3.0,,2.0,,3.0,,,"[[-164.0], [55.5], [-65.5]]","[[-121.0], [106.5], [-127.0]]",,
88,,,,Silicate Liquid,B77,,,,,1428,,3.0,,2.0,,4.0,,,"[[-297.0], [83.5], [-291.0]]","[[-221.5], [175.75], [-225.75]]",,
89,,,,Silicate Liquid,B65,,,,,884,,3.0,,2.0,,5.0,,,"[[-1637.0], [293.0], [-517.0]]","[[-1302.5], [722.75], [-226.0]]",,
90,,,,Silicate Liquid,B19,,,,,1583,,3.0,,3.0,,0.0,,,"[[-6.0], [-6.0], [35.0]]","[[-1.0], [-1.0], [-7.5]]",,
91,,,,Silicate Liquid,B27,,,,,1621,,3.0,,3.0,,1.0,,,"[[38.0], [38.0], [27.5]]","[[25.5], [25.5], [4.0]]",,
92,,,,Silicate Liquid,B80,,,,,1644,,3.0,,3.0,,2.0,,,"[[66.0], [66.0], [43.0]]","[[43.0], [43.0], [16.75]]",,
93,,,,Silicate Liquid,B76,,,,,1724,,3.0,,3.0,,3.0,,,"[[198.0], [198.0], [61.0]]","[[142.5], [142.5], [98.0]]",,
94,,,,Silicate Liquid,B29,,,,,1793,,3.0,,3.0,,4.0,,,"[[319.0], [319.0], [239.0]]","[[235.5], [235.5], [180.5]]",,
95,,,,Silicate Liquid,B47,,,,,2288,,3.0,,3.0,,5.0,,,"[[1258.0], [1258.0], [422.0]]","[[965.0], [965.0], [183.0]]",,
